Date,Price,Pct Change,,
9/27/2019,"2,962.15",2.71%,,
8/1/2019,"2,883.98",-3.74%,,
7/1/2019,"2,996.11",3.67%,,
6/1/2019,"2,890.17",1.24%,,
5/1/2019,"2,854.71",-1.69%,,
4/1/2019,"2,903.80",3.56%,,
3/1/2019,"2,803.98",1.78%,,
2/1/2019,"2,754.86",5.66%,,
1/1/2019,"2,607.39",1.56%,,
12/1/2018,"2,567.31",-5.73%,,
11/1/2018,"2,723.23",-2.23%,,
10/1/2018,"2,785.46",-4.00%,,
9/1/2018,"2,901.50",1.53%,,
8/1/2018,"2,857.82",2.30%,,
7/1/2018,"2,793.64",1.43%,,
6/1/2018,"2,754.35",1.96%,,
5/1/2018,"2,701.49",1.80%,,
4/1/2018,"2,653.63",-1.82%,,
3/1/2018,"2,702.77",-0.09%,,
2/1/2018,"2,705.16",-3.03%,,
1/1/2018,"2,789.80",4.71%,,
12/1/2017,"2,664.34",2.73%,,
11/1/2017,"2,593.61",1.43%,,
10/1/2017,"2,557.00",2.57%,,
9/1/2017,"2,492.84",1.49%,,
8/1/2017,"2,456.22",0.09%,,
7/1/2017,"2,454.10",0.83%,,
6/1/2017,"2,433.99",1.61%,,
5/1/2017,"2,395.35",1.53%,,
4/1/2017,"2,359.31",-0.32%,,
3/1/2017,"2,366.82",1.58%,,
2/1/2017,"2,329.91",2.41%,,
1/1/2017,"2,275.12",1.27%,,
12/1/2016,"2,246.63",3.77%,,
11/1/2016,"2,164.99",1.03%,,
10/1/2016,"2,143.02",-0.68%,,
9/1/2016,"2,157.69",-0.61%,,
8/1/2016,"2,170.95",1.03%,,
7/1/2016,"2,148.90",3.12%,,
6/1/2016,"2,083.89",0.89%,,
5/1/2016,"2,065.55",-0.48%,,
4/1/2016,"2,075.54",2.65%,,
3/1/2016,"2,021.95",6.17%,,
2/1/2016,"1,904.42",-0.74%,,
1/1/2016,"1,918.60",-6.60%,,
12/1/2015,"2,054.08",-1.28%,,
11/1/2015,"2,080.62",2.76%,,
10/1/2015,"2,024.81",4.13%,,
9/1/2015,"1,944.41",-4.68%,,
8/1/2015,"2,039.87",-2.59%,,
7/1/2015,"2,094.14",-0.25%,,
